date,title,source,link,contents
2021.05.03.,"DGB금융, 사회복지지설·아동금융교육 지원",아시아경제,https://view.asiae.co.kr/article/2021050310085097161,전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 ‘파랑새드림지역아동센터’에서 지난달 30일 열렸다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는 장애인 및...
2021.05.03.,"DGB금융그룹, 사회복지지설·아동금융교육 지원…ESG 경영 실천",대한금융신문,http://www.kbanker.co.kr/news/articleView.html?idxno=98383,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설'파랑새드림지역아동센터'에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.03.,"DGB금융그룹, 사회복지지설·아동금융교육 지원",조세일보,http://www.joseilbo.com/news/news_read.php?uid=422845&class=51&grp=,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 파랑새드림지역아동센터에서 진행돼 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는 장애인 및...
2021.05.03.,"DGB금융그룹, 사회복지지설·아동금융교육 지원…ESG 경영 실천",국제뉴스,http://www.gukjenews.com/news/articleView.html?idxno=2215612,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설'파랑새드림지역아동센터'에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.03.,DGB금융그룹 사회복지지설 아동금융교육 지원 ESG 경영 실천,프라임경제,http://www.newsprime.co.kr/news/article.html?no=542617,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설'파랑새드림지역아동센터'에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.03.,은행권 가정의 달 이벤트 '풍성',FETV,https://www.fetv.co.kr/news/article.html?no=83837,우리금융지주 우리다문화장학재단은 다문화가족의 경제지식을 높이고 이들의 금융생활을 지원하고자... 어르신들을 대상으로 하는 사회공헌활동도 있다. 대구은행은 지난달 30일 어버이날을 맞아 대한적십자사...
2021.05.03.,"DGB금융, 가정의 달 맞아 사회복지지설·아동금융교육 지원",시장경제신문,http://www.meconomynews.com/news/articleView.html?idxno=53047,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 '파랑새드림지역아동센터'에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.03.,"DGB금융그룹, 사회복지지설·아동금융교육 지원 ESG 경영 실천",시사뉴스,https://www.sisa-news.com/news/article.html?no=156364,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설‘파랑새드림지역아동센터’에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.03.,"DGB금융, ESG 경영 ‘한발짝’‥사회복지지설·아동금융교육 지원",더퍼블릭,http://thepublic.kr/news/newsview.php?ncode=1065581656620924,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설‘파랑새드림지역아동센터’에서 진행됐다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는 장애인 및 아동...
2021.05.03.,"DGB금융그룹, 사회복지지설·아동금융교육 지원…ESG 경영 실천",프레시안,https://www.pressian.com/pages/articles/2021050311252768594?utm_source=naver&utm_medium=search,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설‘파랑새드림지역아동센터’에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.03.,"DGB금융, 사회복지시설·아동금융교육 지원",신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1406867,이번 전달식은 최근 리모델링을 완료하고 다시 연 DGB사회공헌재단 산하시설 '파랑새드림지역아동센터'에서 진행됐다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는 장애인 및 아동...
2021.05.03.,"DGB금융, 사회복지지설·아동금융교육 지원…ESG 경영 실천",미디어펜,http://www.mediapen.com/news/view/624747,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 ‘파랑새드림지역아동센터’에서 진행돼 그 의미를 더했다. DGB금융은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는 장애인...
2021.05.03.,"DGB금융, 사회복지지설·아동금융교육 지원으로 ESG 경영 실천",뉴스저널리즘,http://www.ngetnews.com/news/articleView.html?idxno=400172,이번 전달식은 최근 리모델링 완료 후 재개소한 DGB사회공헌재단 산하시설'파랑새드림지역아동센터'에서 진행돼 의미를 더했다. DGB금융그룹은 코로나19 장기화로 후원금이 감소해 어려움을 겪는 장애인 및 아동...
2021.05.03.,"DGB금융그룹, 사회복지지설·아동금융교육 지원… ESG 경영 실천",아시아투데이,https://www.asiatoday.co.kr/view.php?key=20210503010001345,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 ‘파랑새드림지역아동센터’에서 진행됐다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는 장애인 및 아동...
2021.05.03.,"DGB금융, 사회복지지설·아동금융교육 지원",경북도민일보,http://www.hidomin.com/news/articleView.html?idxno=452131,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설'파랑새드림지역아동센터'에서 진행됐다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는 장애인 및 아동...
2021.05.03.,"DGB금융그룹, '가정의 달' 맞이... ESG 경영 실천 진행",퍼블릭뉴스,http://psnews.co.kr/View.aspx?No=1589145,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 ‘파랑새드림지역아동센터’에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.04.,"DGB금융, 사회복지시설·아동금융교육 등 ESG경영 실천",메트로신문,http://www.metroseoul.co.kr/article/20210503500422,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 파랑새드림 지역아동센터에서 진행돼 그 의미를 더했다. DGB금융은 신종코로나바이러스 감염증(코로나19)으로 인한 후원금 감소로 운영에...
2021.05.04.,"DGB금융그룹, 사회복지지설·아동금융교육 지원한다",뉴데일리,http://tk.newdaily.co.kr/site/data/html/2021/05/03/2021050300162.html,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 ‘파랑새드림지역아동센터’에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.04.,"DGB금융그룹, 사회복지지설ㆍ아동금융교육 지원…ESG 경영 실천",CNB뉴스,http://www.cnbnews.com/news/article.html?no=490194,이번 전달식은 최근 리모델링을 완료하고 재개소한 DGB사회공헌재단 산하시설 ‘파랑새드림지역아동센터’에서 진행돼 그 의미를 더했다. DGB금융그룹은 코로나19로 인한 후원금 감소로 운영에 어려움을 겪고 있는...
2021.05.04.,수성대 간호학과 '대학생 멘토링 동아리 지원사업' 선정,대구신문,http://www.idaegu.co.kr/news/articleView.html?idxno=345567,"수성대학 간호학과 봉사동아리 놀이터가 한국사회복지협의회와 DGB사회공헌재단의 '2021 대학생 멘토링 동아리 지원사업'에 선정됐다. 이 사업은 전국 대학 봉사동아리들이 지역아동센터 등 복지기관과 연계, 멘토링..."
2021.05.05.,"보험사, '가정의 달' 맞아 어린이 상품·캠페인 '활발'",시사오늘,http://www.sisaon.co.kr/news/articleView.html?idxno=127066,"어린이재단', '집꾸미기'와 '꿈꾸는 공부방' 조성 사업을 시작했다. '꿈꾸는 공부방'은 KDB생명의 사회공헌... 지금까지 김성한 DGB생명 대표, 김기환 KB손해보험 대표, 박윤식 MG손해보험 대표, 박춘원 흥국생명 대표 등이..."
2021.05.05.,"수성구립도서관, 공간의 제한을 뛰어넘다",쿠키뉴스,http://www.kukinews.com/newsView/kuk202105040152,◇범어도서관 범어도서관은 DGB 사회공헌재단과 협력해 지난 4월 ‘청소년 금융아카데미’를 진행했다. 이 프로그램은 대구은행 금융박물관을 방문해 대구 근·현대 금융경제의 흐름과 최초의 지방은행인 대구은행의...
2021.05.06.,"하이투자증권, 소아암 어린이 위한 항균용품 전달",메트로신문,http://www.metroseoul.co.kr/article/20210506500022,하이투자증권은 'DGB 행복드림데이'에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는...
2021.05.06.,"하이투자증권, 소아암 어린이를 위한 항균용품 전달",뉴스웨이,http://www.newsway.co.kr/news/view?tp=1&ud=2021050609011173051,하이투자증권은 ‘DGB 행복드림데이’에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품...
2021.05.06.,"하이투자증권, 가정의 달 맞아 소아암 어린이 위한 항균용품 전달",e대한경제,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202105060905005670852,하이투자증권은 DGB 행복드림데이에 참여하고자 DGB사회공헌재단 모금회를 통해 500만원의 후원금을 마련했다. DGB 행복드림데이는 DGB사회공헌재단 소속 동행봉사단에서 지역사회를 대상으로 진행하는...
2021.05.06.,"하이투자증권, 소아암 어린이 위한 항균용품 전달",서울파이낸스,http://www.seoulfn.com/news/articleView.html?idxno=418788,하이투자증권은 'DGB 행복드림데이'에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. DGB 행복드림데이는...
2021.05.06.,"하이투자증권, 소아암 어린이를 위한 항균용품 전달",이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01800726629046296,(사진=하이투자증권)하이투자증권은 ‘DGB 행복드림데이’에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로...
2021.05.06.,"하이투자증권, 소아암 어린이 항균용품 지원",신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1407922,"하이투자증권은 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는 손소독제와 손소독티슈, 핸드워시 등 면연력이 약한 소아암 어린이에게 필수적인 품목으로..."
2021.05.06.,"하이투자證, 어린이날 맞아 소아암 어린이에 향균 용품 전달",청년일보,http://www.youthdaily.co.kr/news/article.html?no=70341,하이투자증권은 ‘DGB 행복드림데이’에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품...
2021.05.06.,"하이투자증권, 소아암 어린이 위한 항균용품 전달",뉴데일리,http://biz.newdaily.co.kr/site/data/html/2021/05/06/2021050600051.html,이 회사는 ‘DGB 행복드림데이’에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 손소독제...
2021.05.06.,"하이투자증권, 한국백혈병어린이재단에 '소아암 어린이 위한 향균용품 전달식...",뉴스락,http://www.newslock.co.kr/news/articleView.html?idxno=39621,하이투자증권은 'DGB 행복드림데이'에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는...
2021.05.06.,"하이투자증권, 소아암 어린이 위한 항균용품 전달",팍스경제TV,http://www.paxetv.com/news/articleView.html?idxno=116572,하이투자증권은 'DGB 행복드림데이'에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는...
2021.05.06.,"하이투자증권, 소아암 어린이에 항균용품 전달",FETV,https://www.fetv.co.kr/news/article.html?no=84120,"이번에는 DGB사회공헌재단 모금회를 통해 후원금 500만원을 마련해 소아암으로 투병 중인 어린이의 쾌차를 기원하며 항균용품 세트 구매 용도로 사용했다. 항균용품 세트는 손소독제, 손소독티슈, 핸드워시 등 면역력이..."
2021.05.06.,"하이투자증권, 소아암 어린이 항균용품 지원",데일리안,https://www.dailian.co.kr/news/view/988709/?sc=Naver,"하이투자증권은 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는 손소독제와 손소독티슈, 핸드워시 등의 품목으로 구성됐다. 김경규 하이투자증권 대표는..."
2021.05.06.,"하이투자증권, 소아암 어린이를 위한 항균용품 전달",뉴시스,http://www.newsis.com/view/?id=NISX20210506_0001431460&cID=10401&pID=10400,하이투자증권은 DGB 행복드림데이에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는...
2021.05.06.,"하이투자증권, 소아암 어린이를 위한 항균용품 전달",서울경제TV,http://www.sentv.co.kr/news/view/593442,하이투자증권은 ‘DGB 행복드림데이’에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다.항균용품...
2021.05.06.,"하이투자증권, 소아암 어린이 위한 항균용품 전달",이뉴스투데이,http://www.enewstoday.co.kr/news/articleView.html?idxno=1476429,하이투자증권은 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 항균용품 세트 구매 용도로 전달했다. 후원금으로 마련한 항균용품 175세트는 한국백혈병어린이재단 산하 서울·대구·부산·광주지역 센터를 통해...
2021.05.06.,"하이투자증권, 소아암 어린이 위한 항균용품 전달",아시아경제,https://view.asiae.co.kr/article/2021050610455680212,하이투자증권은 DGB 행복드림데이에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는...
2021.05.06.,"김경규 하이투자증권 대표, 소아암 어린이 위한 항균용품 전달",컨슈머타임스,http://www.cstimes.com/news/articleView.html?idxno=459871,하이투자증권은 DGB 행복드림데이에 참여하고자 DGB사회공헌재단 모금회를 통해 준비한 후원금 500만원을 소아암으로 투병 중인 어린이의 씩씩한 극복을 기원하며 항균용품 세트 구매 용도로 전달했다. 항균용품 세트는...
