date,title,source,link,contents
2021.05.07.,"DGB생명 변액보험 전문 서둘러, 김성한 소형보험사 살 길은 집중",비즈니스포스트,https://www.businesspost.co.kr/BP?command=article_view&num=230508,DGB생명의 변액보험 판매비중은 지난해 1분기 21%에서 올해 1분기 67%까지 늘었다. 변액보험시장에서 두각을 나타내면서 3월 법인보험대리점 채널 매출 5위에 오르기도 했다. 이런 영향으로 1분기 DGB생명의 변액자산은...
2021.05.09.,"[자금조달]DGB생명, 후순위채 발행해 RBC 개선",아시아경제,https://view.asiae.co.kr/article/2021050914553923297,DGB생명보험이 500억원 규모의 후순위채를 사모로 발행했다. 보험사 재무건전성의 척도로 간주하는 지급여력비율(RBC)을 개선하기 위해 후순위채를 발행한 것으로 풀이된다. 9일 투자은행(IB) 업계에 따르면...
2021.05.10.,"[더벨]DGB생명보험, 3년 만에 사모 후순위채 발행",더벨,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202105071723447040101453,DGB생명보험이 3년 만에 사모로 후순위채를 발행했다. 새롭게 도입될 국제회계기준에 대비하고 RBC(지급여력)비율을 제고하기 위해서다. 조달금리도 최근 몇 년 동안 발행했던 채권과 비교해 눈에 띄게 낮아졌다....
2021.05.11.,"DGB생명, 후순위 사모사채 500억원 발행",연합인포맥스,http://news.einfomax.co.kr/news/articleView.html?idxno=4146826,DGB생명보험이 지난 7일 후순위 사모사채 500억원을 발행했다고 11일 밝혔다. 후순위채 표면이자율은 4.6%다. 만기일은 2031년 5월 7일이다. 이자계산주기는 3개월이다. 발행일부터 5년 경과한 날 익일 이후...
2021.05.11.,"DGB생명,사모 후순위채 500억 발행… 재무건전성 회복 총력",브릿지경제,http://www.viva100.com/main/view.php?key=20210511010002070,"DGB생명,사모 후순위채 500억 발행… 재무건전성 회복 총력 DGB생명보험이 500억원 규모의 후순위채권을 사모로 발행, 지급여력비율(RBC)을 230%대로 끌어올렸다. 11일 DGB생명보험에 따르면 지난 7일 500억 원 사모..."
2021.05.14.,"은행·보험사, 후순위채 발행 러시···금리 상승기 선제 대응 '주목'",시사저널이코노미,http://www.sisajournal-e.com/news/articleView.html?idxno=232194,"DGB생명보험도 지난 7일 RBC비율 개선 등을 위해 500억원 규모의 후순위채를 발행했다. 이자율은 4.60%, 만기는 10년이다. ◇금리 인상 시그널 나오면 흥행에도 악영향···금융사, 발행시기 조정 전망 은행들과..."
2021.05.18.,"[더벨][Market Watch]금융지주 영구채 인기 주춤, 국내외 조달 분위기 반전",더벨,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202105141627319000104663,"올 3월 흥국화재해상보험이 450억원 규모의 후순위채를 찍은 것을 시작으로 지난달부터 현재까지 메리츠화재해상보험과 푸본현대생명보험, 미래에셋생명보험, 현대해상화재보험, DGB생명보험, KB손해보험 등이..."
2021.05.20.,"[더벨][Market Watch]보험사, 후순위채 잇딴 발행…자본확충 안간힘",더벨,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202105181524319720107991,"DGB생명보험과 푸본현대생명보험, 흥국화재해상보험은 발행규모가 1000억원에 못 미치며 사모채로만 발행했다. 보험사의 자본성증권 발행규모는 지난해보다 크게 늘었다. 지난해 보험사가 발행한 자본성증권은 모두..."
2021.05.31.,"[김성한 DGB생명 대표] “작지만 다니고 싶은, 변액연금 전문회사 도약”",한국금융신문,http://www.fntimes.com/html/view.php?ud=202105302155225101dd55077bc2_18,김 대표의 노력으로 DGB생명 변액보험 판매 비중을 월납 기준 70%까지 끌어올리는 가시적 성과를 거뒀다. 현재 보증형 상품(GLWB) 외에 미보증형 상품 확대에도 박차를 가하고 있다. 디지털과 ESG경영에도 힘쓰고 있다....
2021.06.09.,"[더벨]하나자산신탁, DGB생명 부산사옥 매각 추진",더벨,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202106071441338080105048,하나자산신탁이 리츠로 편입한 DGB생명보험 부산사옥을 매각할 계획이다. 내년 리츠 만기를 앞두고 진행된 조치로 지방 매물 약점을 딛고 기관투자가 관심을 이끌지 주목된다. 7일 관련 업계에 따르면 하나자산신탁...
