date,title,source,link,contents
2021.05.06.,"DGB유페이, 수요일·금요일 대중교통 타면 캐시백 혜택",데일리한국,https://daily.hankooki.com/lpage/finance/202105/dh20210506102948148310.htm?s_ref=nv,5월 한달간 '매주 수·금은 원패스데이' 캐시백 이벤트를 진행 DGB유페이가 대중교통 이용 활성화를 위해 5월 한달간 '매주 수·금은 원패스데이' 캐시백 이벤트를 진행한다고 6일 밝혔다. 이번 이벤트는 매주 수요일과...
2021.05.06.,"DGB금융 ""5월, DGB유페이로 버스·지하철 이용하세요""",뉴스저널리즘,http://www.ngetnews.com/news/articleView.html?idxno=400207,"뉴스저널리즘 차진형 기자 기자 = DGB유페이, 원패스앱 대중교통 이벤트. 사진=DGB금융지주 DGB금융지주가 시민들과 함께 탄소줄이기 운동을 전개한다. DGB금융은 6일 자사 결제시스템인 DGB유페이를 대중교통 결제에..."
2021.05.06.,"DGB유페이, 원패스앱 대중교통 이벤트…ESG 경영실천",뉴시스,http://www.newsis.com/view/?id=NISX20210506_0001431566&cID=10810&pID=10800,DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 캐시백 이벤트를 진행한다. DGB유페이는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 '매주 수·금은 원패스데이'를 실시한다고 6일 밝혔다. 이번...
2021.05.06.,"DGB유페이, 원패스앱 대중교통 이벤트…ESG 경영 실천",조세일보,http://www.joseilbo.com/news/news_read.php?uid=423080&class=51&grp=,DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한달 간 캐시백 이벤트를 진행한다. DGB유페이는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 매주 수∙금은 원패스데이를 실시한다고 6일...
2021.05.06.,"DGB유페이, 원패스앱 5월 한달 간 버스·지하철 캐시백",더퍼블릭,http://thepublic.kr/news/newsview.php?ncode=1065579134232771,DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한달 간 캐시백 이벤트를 진행한다. DGB유페이(대표이사 소근)는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 ‘매주 수·금은 원패스데이’...
2021.05.06.,"DGB유페이, 원패스앱 5월 한달간 버스·지하철 이용시 캐시백",메가경제,http://www.megaeconomy.co.kr/news/newsview.php?ncode=1065591945527934,DGB유페이가 대중교통 이용 활성화와 이를 통한 탄소배출 감축 등 ESG경영에 발맞춰 5월 한달 캐시백 이벤트를 진행한다. DGB유페이(대표이사 소근)는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 ‘매주 수...
2021.05.06.,"DGB유페이, 원패스 앱 대중교통 이벤트",신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1408110,DGB유페이가 이달 말까지 원패스 앱으로 대중교통 요금을 결제한 고객 대상으로 '매주 수·금은 원패스데이' 캐시백 이벤트를 연다고 6일 밝혔다. 이번 이벤트는 매주 수요일과 금요일에 원패스 앱으로 버스와...
2021.05.06.,"DGB유페이, 버스·지하철 이용시 캐시백…ESG 경영 실천",그린포스트코리아,http://www.greenpostkorea.co.kr/news/articleView.html?idxno=128674,"DGB유페이가 5월 한 달 동안 대중교통 활성화 이벤트를 진행한다.(DGB유페이 제공)/그린포스트코리아 DGB유페이가 ESG(환경·사회·지배구조) 경영에 발맞춰 대중교통 활성화 이벤트를 진행한다. DGB유페이는 6일 ""ESG(환경..."
2021.05.06.,"DGB유페이, 대중교통 활성화 위해 원패스앱 대중교통 이벤트 진행",더퍼스트,http://www.thefirstmedia.net/news/articleView.html?idxno=75197,사진=DGB유페이 DGB유페이는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 '매주 수∙금은 원패스데이'를 실시한다고 6일 밝혔다. 이번 이벤트는 매주 수요일과 금요일에 버스·도시철도를 이용한 고객에게...
2021.05.06.,"DGB유페이, 원패스앱 대중교통 캐시백 이벤트",뉴스웨이,http://www.newsway.co.kr/news/view?tp=1&ud=2021050616204539290,DGB유페이가 ESG(환경·사회·지배구조) 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한달 간 캐시백 이벤트를 진행한다고 6일 밝혔다. 이번 이벤트는 원패스앱 대중교통 결제 고객에 한해 매주 수요일과 금요일에...
2021.05.06.,대구경북TBC)사람사람들,TBC대구방송,http://www.tbc.co.kr/tbc_news/n14_newsview.html?p_no=20210506110659AE08033,DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한 달간 캐시백 이벤트를 진행합니다. DGB유페이는 매주 수요일과 금요일 '원패스앱'으로 버스와 지하철 요금을 결제한 고객을 대상으로 500원을...
2021.05.06.,"DGB유페이, 원패스앱 대중교통 이용 캐시백 이벤트 연다",브레이크뉴스,http://www.breaknews.com/804386,"DGB유페이(대표이사 소근)는 원패스앱을 통한 대중교통 결제 시 마일리지를 돌려주는 캐시백 이벤트를 진행한다. DGB유페이 제공 6일, DGB유페이는 대중교통 이용 활성화를..."
2021.05.06.,"DGB유페이, 수·금요일 대중교통 타면 캐시백 혜택",경북매일신문,http://www.kbmaeil.com/news/articleView.html?idxno=875725,DGB유페이(대표이사 소근)가 특정 요일에 원패스앱으로 대중교통을 결제한 고객에게 혜택을 주는 '매주 수·금은 원패스데이' 이벤트를 실시한다고 6일 밝혔다. 이를 통해 매주 수요일과 금요일에 버스·도시철도를...
2021.05.06.,"DGB유페이, 5월 캐시백 이벤트",대구신문,http://www.idaegu.co.kr/news/articleView.html?idxno=345852,DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한달 간 캐시백 이벤트를 진행한다. DGB유페이는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 '매주 수·금은 원패스데이'를 실시한다고 6일...
2021.05.06.,"DGB유페이, 원패스앱 대중교통 이벤트 진행",경상매일신문,http://www.ksmnews.co.kr/default/index_view_page.php?idx=334168&part_idx=291,DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한달 간 캐시백 이벤트를 진행한다.DGB유페이는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 ‘매주 수·금은 원패스데이’를 실시한다....
2021.05.07.,"DGB유페이, 원패스앱 대중교통 이벤트 실시",파이낸셜투데이,http://www.ftoday.co.kr/news/articleView.html?idxno=214751,사진=DGB유페이 DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한 달간 캐시백 이벤트를 진행한다고 7일 밝혔다. DGB유페이는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 '매주 수·금은...
2021.05.07.,"DGB유페이, 대중교통 이용 활성화 위해 5월 한달 간 캐시백 이벤트 진행",시사뉴스,https://www.sisa-news.com/news/article.html?no=156797,DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한달 간 캐시백 이벤트를 진행한다. DGB유페이(대표이사 소근)는 특정 요일에 원패스앱을 통한 대중교통 결제 고객에 한해 ‘매주 수∙금은...
2021.05.09.,"DGB유페이, 원패스앱 대중교통 이벤트 마련",뉴데일리,http://tk.newdaily.co.kr/site/data/html/2021/05/06/2021050600204.html,뉴데일리 강승탁 기자 = DGB유페이가 ESG 경영에 발맞춰 대중교통 이용 활성화를 위해 5월 한 달간 캐시백 이벤트를 진행한다고 6일 밝혔다. DGB유페이(대표이사 소근)는 특정 요일에 원패스앱을 통한 대중교통 결제...
2021.05.12.,"DGB유페이, 수·금요일 대중교통 이용하면 500원 캐시백",경북도민일보,http://www.hidomin.com/news/articleView.html?idxno=452960,"DGB유페이, 원패스앱 대중교통 이벤트. 사진=DGB유페이 제공 DGB유페이가 ESG 경영에 발 맞춰 대중교통 이용 활성화를 위해 5월 한달간 캐시백 이벤트를 진행한다. DGB유페이는 최근 특정 요일에 원패스앱을 통한 대중교통..."
2021.05.14.,DGB금융 창립 10년…자산규모 3배 가까이 성장,연합뉴스,http://yna.kr/AKR20210513119100053?did=1195m,"출범 당시 대구은행, 대구신용정보, 카드넷(현 DGB유페이) 등 3개 자회사를 두고 출발한 DGB금융은 현재 자회사를 9개로 늘려 매머드 지방 금융그룹으로 성장했다. 33조8천억원에 불과했던 그룹 총자산은..."
2021.05.16.,"닻 올린 김태오 2기 체제 ··· DGB금융, 100년 기업 초석 다진다",서울경제,https://www.sedaily.com/NewsView/22MDTKW4ED,"그 결과 대구은행, 대구신용정보, DGB유페이(옛 카드넷) 등 출범 당시 3개에 불과했던 자회사는 현재 DGB생명·캐피탈·자산운용·신용정보·데이터시스템, 하이투자증권 등 9개로 늘었다. 지난 2015년 DGB생명(옛..."
2021.05.17.,"창립 10주년 DGB금융, 자산 90조 눈앞...비은행 확대 성과",디지털타임스,http://www.dt.co.kr/contents.html?article_no=2021051702109963048005&ref=naver,출범 당시 대구은행·대구신용정보·카드넷(DGB유페이) 3개에 불과했던 계열사는 현재 하이투자증권·DGB생명·DGB캐피탈·DGB자산운용·DGB데이터시스템·수림창업투자까지 9개로 늘었다. 2015년 우리아비바생명...
2021.05.17.,"DGB금융그룹, 지주 10주년 창립기념식 '온택트'로 열다",국제뉴스,http://www.gukjenews.com/news/articleView.html?idxno=2225401,"소근 DGB유페이 대표, 임효택 DGB신용정보 대표.(사진제공=DGB금융그룹) 백운용 기자 = DGB금융그룹(회장 김태오)은 17일 대구은행 제2본점에서 전 임직원이 참여하는 '온택트(On-Tact)'로 10주년 창립기념식을 개최했다...."
2021.05.17.,"[뉴스‘까’페] ‘이자 장사로는 한계’…지방금융, ‘비은행 날개’ 달고 한...",SBS Biz,https://biz.sbs.co.kr/article_hub/20000015842?division=NAVER,"출범 당시 대구은행, 대구신용정보, DGB유페이(옛 카드넷) 등 3개에 불과했던 자회사는 현재 DGB생명·캐피탈·자산운용·신용정보·데이터시스템, 하이투자증권 등 9개로 늘었습니다. 그룹 총자산은 89조6천억원으로..."
2021.05.17.,"김태오 DGB금융 회장 ""'One DGB'로 그룹 시너지 역량 강화""",쿠키뉴스,http://www.kukinews.com/newsView/kuk202105170314,"소근 DGB유페이 대표, 임효택 DGB신용정보 대표가 100년 도약을 향해 화이팅을 외치고 있다. (DGB금융그룹 제공) 2021.05.17 김태오 DGB금융그룹 회장은 17일 창립 10주년 기념식에서 그룹 시너지 역량 강화를 주문하면서..."
2021.05.18.,"10돌 맞은 DGB금융 ""ESG경영으로 '100년 그룹' 만들 것""",시장경제신문,http://www.meconomynews.com/news/articleView.html?idxno=53532,"소근 DGB유페이 대표, 임효택 DGB신용정보 대표. 사진=DGB금융그룹 제공 창사 10년만에 종합금융 '위용'...'비은행·해외공략' 투트랙 2011년 5월 3개 자회사에 총자산 33조7,000억원으로 출범한 DGB금융그룹은 최근..."
2021.05.18.,[CEO돋보기] 'DGB금융 10주년' 새삼 주목받는 김태오 회장의 경영 노하우,팍스경제TV,http://www.paxetv.com/news/articleView.html?idxno=117363,"출범 당시에는 대구은행, 대구신용정보, 카드넷(현 DGB유페이) 등 3개 자회사를 두고 출발했다. 지금은 DGB생명·캐피탈·자산운용·신용정보·데이터시스템, 하이투자증권 등 자회사를 9개로 늘렸다. 2015년 DGB생명(옛..."
2021.05.18.,‘One DGB' 꺼낸 DGB금융 “중장기 전략·ESG경영 추진”,미디어펜,http://www.mediapen.com/news/view/628927,"소근 DGB유페이 대표, 임효택 DGB신용정보 대표. / 사진=DGB금융그룹 제공 사내방송과 공식 유튜브 ‘dgb프렌즈’ 채널에서 생중계된 이날 기념식은 그룹 10주년 기념영상 및 축하인사, 수림창업투자 신규 계열사..."
2021.05.24.,"김태오 DGB금융, 110조 자산 목표 성장 가속화",한국금융신문,http://www.fntimes.com/html/view.php?ud=202105232113006159dd55077bc2_18,"대구은행, 대구신용정보, DGB유페이(옛 카드넷) 등 3개에 불과했던 자회사는 현재 9개로 늘었다. DGB금융은 2012년 메트로아시아캐피탈(현 DGB캐피탈)을 시작으로 2015년 DGB생명(옛 우리아비바생명), 2016년 DGB자산운용..."
2021.05.27.,"대구시사회서비스원, 보호종료(예정)아동에게 교통비 지원",국제뉴스,http://www.gukjenews.com/news/articleView.html?idxno=2231971,소외계층에 대한 교통비 지원을 위한 교통복지사업 '다함께 대구로'는 대구시‧(주)DGB유페이‧대구사회복지공동모금회가 상호협력 협약을 체결하고 교통카드 장기미사용 충전선수금을 대구시사회서비스원으로...
2021.05.28.,"대구시사회서비스원, 보호종료 및 예정 아동에게 교통비 지원",잡포스트,http://www.job-post.co.kr/news/articleView.html?idxno=23881,소외계층에 대한 교통비 지원을 위한 교통복지사업 '다함께 대구로'는 대구시‧(주)DGB유페이‧대구사회복지공동모금회가 상호협력 협약을 체결하고 교통카드 장기미사용 충전선수금을 대구시사회서비스원으로...
2021.06.09.,"[금융소식]대구은행장학문화재단, 장학금 1억9천만원 전달",쿠키뉴스,http://www.kukinews.com/newsView/kuk202106090077,"DGB유페이, 6월 원패스앱 선물하기 이벤트 ‘선물하기 좋은-달, 원패스로 표현하세요’ 이벤트 홍보물. (DGB유페이 제공) 2021.06.09 DGB유페이는 6월 한달 간 ‘선물하기 좋은-달, 원패스로 표현하세요’ 이벤트를..."
2021.06.09.,"DGB금융그룹DGB유페이, 6월 원패스앱 선물하기 이벤트",국제뉴스,http://www.gukjenews.com/news/articleView.html?idxno=2241116,"DGB유페이는 6월을 맞이해 '선물하기 좋은-달, 원패스로 표현하세요'라는 슬로건으로 9일부터 한 달간 원패스앱 신규 이벤트를 진행한다. 이번 이벤트는 원패스 이용고객이 앱 내 '선물하기 서비스'를 이용해 미가입자를..."
2021.06.09.,"DGB유페이, 6월 원패스앱 선물하기 이벤트 실시",뉴시스,http://www.newsis.com/view/?id=NISX20210609_0001470573&cID=10810&pID=10800,"DGB유페이는 9일부터 7월8일까지 1개월간 '선물하기 좋은-달, 원패스로 표현하세요’라는 슬로건으로 원패스앱 신규 이벤트를 진행한다고 밝혔다. 이번 이벤트는 원패스 이용고객이 앱 내 선물하기 서비스를 이용해..."
2021.06.09.,"DGB유페이, 6월 원패스앱 선물하기 이벤트",조세일보,http://www.joseilbo.com/news/news_read.php?uid=425537&class=51&grp=,"DGB유페이는 6월을 맞이해 선물하기 좋은-달, 원패스로 표현하세요라는 슬로건으로 9일부터 한 달간 원패스앱 신규 이벤트를 진행한다고 9일 밝혔다. 이번 이벤트는 원패스 이용고객이 앱 내 선물하기 서비스를 이용해..."
2021.06.09.,"DGB유페이, 6월 원패스앱 선물하기 이벤트",대한금융신문,http://www.kbanker.co.kr/news/articleView.html?idxno=99107,"DGB유페이는 6월을 맞이해 '선물하기 좋은-달, 원패스로 표현하세요'라는 슬로건으로 9일부터 한 달간 원패스앱 신규 이벤트를 진행한다. 이번 이벤트는 원패스 이용고객이 앱 내 '선물하기 서비스'를 이용해 미가입자를..."
2021.06.09.,"DGB유페이, 6월 맞아 원패스앱 신규 이벤트 진행",더퍼스트,http://www.thefirstmedia.net/news/articleView.html?idxno=76995,"사진=DGB유페이 DGB유페이는 6월을 맞이해 '선물하기 좋은-달, 원패스로 표현하세요'라는 슬로건으로 9일부터 한 달간 원패스앱 신규 이벤트를 진행한다고 밝혔다. 이번 이벤트는 원패스 이용고객이 앱 내 '선물하기..."
2021.06.09.,"DGB유페이, 원패스앱 선물 이벤트… 발신인 선물 금액 10% 페이백",경북도민일보,http://www.hidomin.com/news/articleView.html?idxno=455372,"DGB유페이는 9일부터 한 달간 원패스앱 '선물하기 좋은-달, 원패스로 표현하세요' 신규 이벤트를 진행한다. 이번 이벤트는 원패스 이용고객이 앱 내 '선물하기 서비스'를 이용해 미가입자를 원패스앱으로 초대한다는..."
