date,title,source,link,contents
2021.05.01.,"[기업공시 4월 30일]아이큐어, 도네페질 패취 미국 FDA 1상 임상시험계획 승인...",서울경제,https://www.sedaily.com/NewsView/22M6VRREBG,"변경 ▲KMH=DGB캐피탈과 체결한 최대주주 주식담보대출 상환, 하나금융투자와 최대주주 변경을 수반하는 주식담보대출 계약 ▲시티랩스=특수관계자 로라크에 200억 원 규모 담보제공 결정 ▲이디티..."
2021.05.01.,은행·비은행 동반성장…지방금융지주 1분기 '好好好',미디어펜,http://www.mediapen.com/news/view/624119,"하이투자증권, DGB캐피탈 등 비은행부문도 그룹 실적 개선에 한몫했다. 하이투자증권은 전반적인 증권업 호황으로 지난해 1분기 대비 206.1% 급증한 401억원의 순이익을 달성했다. DGB캐피탈도 꾸준한 자산증가에..."
2021.05.01.,지방금융그룹도 1분기 사상최대 실적…비은행 계열 선전,e대한경제,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202104292337400450600,"시장금리 상승세에 힘입어 대구은행의 순이자마진이 회복한 데 이어, 비은행 계열인 하이투자증권과 DGB캐피탈 등의 이익이 증가하면서 최대 실적을 기록한 것이다. 특히 하이투자증권은 최근 동학개미..."
2021.05.02.,'호실적' 금융지주계열 캐피탈·저축銀…충당금적립 먹구름,이코노믹리뷰,https://www.econovill.com/news/articleView.html?idxno=530324,대구은행 이자이익이 회복되고 비은행 계열사인 DGB캐피탈과 하이투자증권의 이익이 증가했기 때문이다. DGB캐피탈의 1분기 총 영업이익은 339억원으로 전년 동기 대비 28.4% 늘어났다. 반면 충당금전입액은 전년도와...
2021.05.02.,'한 숨 돌린' BNK·JB·DGB금융 순익 39% 급등…날개 단 비은행,에너지경제,https://www.ekn.kr/web/view.php?key=20210430010000078,DGB금융에서도 하이투자증권과 DGB캐피탈 등 비은행 부문이 전년 동기 대비 큰 폭으로 성장했다. 하이투자증권은 증권업 호항에 따라 1년 전 대비 206.1% 급증한 401억원의 순이익을 기록했다. DGB캐피탈은 71.1...
2021.05.02.,"지방금융지주 1분기 역대급 순이익 ...비은행 '깜짝"" 실적",브릿지경제,http://www.viva100.com/main/view.php?key=20210502010000067,"대구은행의 이자이익이 회복했고, 비은행 계열사인 하이투자증권, DGB캐피탈 등의 이익 증가세가 지속된 영향이다.계열사별 실적을 보면 대구은행의 1분기 순이익은 915억원으로 16.3% 증가했다. 지역 경기가..."
2021.05.03.,"[분석] 금융지주 계열 캐피탈, 순이익 '고공행진'",아이뉴스24,http://www.inews24.com/view/1363930,"DGB캐피탈은 130억원으로 71.1% 성장했다. 신차·중고차 등 자동차금융이 전체 자산의 66%를 차지하는 JB우리캐피탈은 이자이익이 22.6%, 리스이익이 18.1% 성장하면서 영업 실적 자체가 좋았다. 여기에 중고나라 매각이익..."
2021.05.04.,"‘비은행이 효자네’ 지방금융, 1분기 ‘역대급’ 실적 갱신",쿠키뉴스,http://www.kukinews.com/newsView/kuk202105030250,"그간 고전을 면치 못하던 대구은행의 이자이익이 회복한데 이어 비은행 계열사인 하이투자증권, DGB캐피탈 등의 호실적이 이어졌기 때문이다. 계열사별 실적을 보면 대구은행의 1분기 순이익은 915억원으로 16.3..."
2021.05.04.,"캐피탈사, ESG채권 올해만 2조 발행",팍스넷뉴스,https://www.paxnetnews.com/articles/73682,올해 처음 ESG채권 발행에 나선 곳은 IBK(2000억원)·롯데(2700억원)·엠(1500억원)·JB우리(1000억원)·애큐온(1400억원)·DGB캐피탈(1800억원) 등 6개사다. 지난해까지는 대형 캐피탈사 위주로 ESG채권을 발행해왔는데...
2021.05.05.,지방금융도 1분기 호실적...비은행 효과 톡톡,굿모닝경제,http://www.kpinews.co.kr/news/articleView.html?idxno=145998,"증권 계열사인 하이투자증권은 1분기 순이익으로 전년 동기 대비 206.1% 급증한 401억원을 달성했으며 DGB캐피탈 역시 130억원으로 71.1% 증가했다. DGB금융 관계자는 ""국내외 경기회복 속도에 대해 여전히..."
2021.05.07.,"[더벨][여전사경영분석]'사세확장' DGB캐피탈, 소매·기업금융 '가속페달'",더벨,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202105041812058400103587,DGB캐피탈이 사세를 확장하며 수익성을 빠르게 개선하고 있다. 특히 개인신용대출 등 소매금융과 기업금융에 드라이브를 걸면서 고속 성장을 이어갔다. 다만 기계금융은 전방산업이 아직 회복되지 않았다는 점과...
2021.05.10.,‘만년 저평가주’ 은행주가 돌아왔다,매경이코노미언론사 선정,http://news.mk.co.kr/v2/economy/view.php?year=2021&no=448547,"DGB금융지주는 주력 계열사 대구은행 이자이익이 회복되고 하이투자증권, DGB캐피탈 등이 성장세를 지속하며 1분기 순이익이 40% 증가했다. 지방 금융지주사 최초로 내부등급법 사용 승인을 받았다는 것이 눈길을..."
2021.05.11.,"[더벨]방긋 웃은 여전사, 파티 올해 끝? 내년 전망 '미지수'",더벨,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202105092100483360101486,JB우리·우리금융·BNK·DGB캐피탈 모두 1년 전보다 순이익이 큰 폭으로 증가했다. *출처=각 사 2021년 1분기 경영실적 자료 카드사의 경우 저마다 수익성 개선의 배경은 다르나 대체로 수익원 다각화가 바탕이 됐다. 지난해...
2021.05.11.,[2021 한국금융미래포럼] [전문] 허과현 한국금융신문 회장 개회사,한국금융신문,http://www.fntimes.com/html/view.php?ud=2021051114345516580d260cda75_18,"그리고 한국신용정보원 신현준 사장님, 한국기업데이터 이호동 사장님, 하나캐피탈 윤규선 사장님과 DGB캐피탈 서정동 사장님도 자리를 함께 하셨습니다. 어려운 시간을 내주신 금융업계 기관장 여러분께 다시 한번..."
2021.05.11.,[2021 한국금융미래포럼] 은성수 위원장·금융지주 회장·금융협회장 포럼 전...,한국금융신문,http://www.fntimes.com/html/view.php?ud=2021051115015254758a55064dd1_18,"이날 행사에는 나재철 금융투자협회장, 김광수 은행연합회장, 이윤배 화재보험협회 이사장, 서정동 DGB캐피탈 대표, 윤규선 하나캐피탈 대표, 이명호 예탁결제원 사장, 임승보 대부금융협회 회장, 신현준..."
2021.05.14.,"BNK·DGB·JB우리캐피탈, 사업 성장에 그룹 내 효자 역할 ‘톡톡’",한국금융신문,http://www.fntimes.com/html/view.php?ud=202105141020317756ee0209bd21_18,"BNK캐피탈과 DGB캐피탈, JB우리캐피탈 등 지방지주 계열 캐피탈사 모두 지난 1분기에 전년 동기 대비 70% 이상 성장하는 모습을 보였다. BNK캐피탈은 순이익 340억원을 기록해 전년동기 대비 77.1% 증가하면서 분기 사상..."
2021.05.17.,"창립 10주년 DGB금융, 자산 90조 눈앞...비은행 확대 성과",디지털타임스,http://www.dt.co.kr/contents.html?article_no=2021051702109963048005&ref=naver,출범 당시 대구은행·대구신용정보·카드넷(DGB유페이) 3개에 불과했던 계열사는 현재 하이투자증권·DGB생명·DGB캐피탈·DGB자산운용·DGB데이터시스템·수림창업투자까지 9개로 늘었다. 2015년 우리아비바생명...
2021.05.17.,"DGB금융그룹, 지주 10주년 창립기념식 '온택트'로 열다",국제뉴스,http://www.gukjenews.com/news/articleView.html?idxno=2225401,"서정동 DGB캐피탈 대표, 소근 DGB유페이 대표, 임효택 DGB신용정보 대표.(사진제공=DGB금융그룹) 백운용 기자 = DGB금융그룹(회장 김태오)은 17일 대구은행 제2본점에서 전 임직원이 참여하는 '온택트(On-Tact)'로 10주년..."
2021.05.17.,"김태오 DGB금융 회장 ""'One DGB'로 그룹 시너지 역량 강화""",쿠키뉴스,http://www.kukinews.com/newsView/kuk202105170314,"서정동 DGB캐피탈 대표, 소근 DGB유페이 대표, 임효택 DGB신용정보 대표가 100년 도약을 향해 화이팅을 외치고 있다. (DGB금융그룹 제공) 2021.05.17 김태오 DGB금융그룹 회장은 17일 창립 10주년 기념식에서 그룹 시너지..."
2021.05.18.,"10돌 맞은 DGB금융 ""ESG경영으로 '100년 그룹' 만들 것""",시장경제신문,http://www.meconomynews.com/news/articleView.html?idxno=53532,"(왼쪽부터)권준희 수림창업투자 대표, 김상근 DGB데이터시스템 대표, 박정홍 DGB자산운용 대표, 김성한 DGB생명 대표, 임성훈 대구은행장, 김태오 DGB금융그룹 회장, 김경규 하이투자증권 대표, 서정동 DGB캐피탈 대표..."
2021.05.18.,"DGB캐피탈, 'IM캐피탈' 출시 기념 경품 이벤트",데일리한국,https://daily.hankooki.com/lpage/finance/202105/dh20210518104451148330.htm?s_ref=nv,"앱 다운로드 후 인증하면 LG 그램 노트북, 삼성 갤럭시 탭 등 증정 DGB캐피탈이 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다고 18일 밝혔다. IM캐피탈은..."
2021.05.18.,‘One DGB' 꺼낸 DGB금융 “중장기 전략·ESG경영 추진”,미디어펜,http://www.mediapen.com/news/view/628927,"사진 왼쪽부터 권준희 수림창업투자 대표, 김상근 DGB데이터시스템 대표, 박정홍 DGB자산운용 대표, 김성한 DGB생명 대표, 임성훈 대구은행장, 김태오 DGB금융그룹 회장, 김경규 하이투자증권 대표, 서정동 DGB캐피탈..."
2021.05.18.,DGB캐피탈 'IM캐피탈' 앱 출시 기념 경품 이벤트,뉴시스,http://www.newsis.com/view/?id=NISX20210518_0001445135&cID=10810&pID=10800,DGB캐피탈은 오는 6월30일까지 렌터카 견적산출 모바일 플랫폼인 IM캐피탈 출시를 기념해 경품 이벤트를 진행한다. 18일 DGB캐피탈에 따르면 이벤트는 플레이(앱)스토어에서 DGB캐피탈 또는 IM캐피탈을 검색해 다운로드...
2021.05.18.,"DGB금융그룹DGB캐피탈, 'IM캐피탈' 앱 출시 기념 경품 이벤트",국제뉴스,http://www.gukjenews.com/news/articleView.html?idxno=2225785,DGB캐피탈(대표 서정동)은 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다. 플레이(앱)스토어에서 'DGB캐피탈' 또는 'IM캐피탈'을 검색해 다운로드 받은 후 핸드폰...
2021.05.18.,"DGB캐피탈, 'IM캐피탈' 앱 출시 기념 경품 이벤트",대한금융신문,http://www.kbanker.co.kr/news/articleView.html?idxno=98683,DGB캐피탈(대표 서정동)은 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다. 플레이(앱)스토어에서 'DGB캐피탈' 또는 'IM캐피탈'을 검색해 다운로드 받은 후 핸드폰...
2021.05.18.,DGB캐피탈 'IM캐피탈' 앱 출시…경품 이벤트 실시,이뉴스투데이,http://www.enewstoday.co.kr/news/articleView.html?idxno=1480089,DGB캐피탈이 렌터카 견적산출 모바일 플랫폼 'IM캐피탈'을 출시하고 경품 이벤트를 진행한다고 18일 밝혔다. 이벤트는 다음 달 말까지 진행된다. IM캐피탈 앱을 다운로드 받고 핸드폰 인증을 완료하면 자동 참여된다....
2021.05.18.,"DGB캐피탈, IM캐피탈 앱 출시 기념 경품 이벤트",조세일보,http://www.joseilbo.com/news/news_read.php?uid=423935&class=51&grp=,DGB캐피탈은 렌터카 견적산출 모바일 플랫폼인 IM캐피탈 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다고 18일 밝혔다. 플레이(앱)스토어에서 DGB캐피탈 또는 IM캐피탈을 검색해 다운로드 받은 후 핸드폰...
2021.05.18.,"DGB캐피탈, 'IM캐피탈' 앱 출시 기념 경품 이벤트 진행",민주신문,http://www.iminju.net/news/articleView.html?idxno=72569,＜'IM캐피탈' 앱 출시 기념 경품 이벤트 포스터＞ ⓒ DGB캐피탈 DGB캐피탈은 오는 6월 30일까지 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 경품 이벤트를 진행한다고 18일 밝혔다. 이벤트는 플레이 앱...
2021.05.18.,"DGB캐피탈, IM캐피탈 앱 출시 기념 경품 이벤트",프라임경제,http://www.newsprime.co.kr/news/article.html?no=544276,DGB캐피탈(대표 서정동)은 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 오는 6월30일까지 경품 이벤트를 진행한다. 플레이(앱)스토어에서 'DGB캐피탈' 또는 'IM캐피탈'을 검색해 다운로드 받은 후 핸드폰...
2021.05.18.,"DGB캐피탈, ‘IM캐피탈’ 앱 출시 기념 경품 이벤트",뉴스웨이,http://www.newsway.co.kr/news/view?tp=1&ud=2021051815484056470,DGB캐피탈은 렌터카 견적산출 모바일 플랫폼인 ‘IM캐피탈’ 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다고 18일 밝혔다. 플레이(앱)스토어에서 ‘DGB캐피탈’ 또는 ‘IM캐피탈’을 검색해 다운로드 받은...
2021.05.18.,"DGB캐피탈, 'IM캐피탈' 앱 출시 기념 경품 이벤트",EBN,https://www.ebn.co.kr/news/view/1484174/?sc=Naver,DGB캐피탈은 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다. 플레이스토어에서 'DGB캐피탈' 또는 'IM캐피탈'을 검색해 다운로드 받은 후 핸드폰 인증까지 완료하면...
2021.05.18.,"DGB캐피탈, 렌터카 비교견적 모바일앱 내놓고 6월 말까지 이벤트",비즈니스포스트,https://www.businesspost.co.kr/BP?command=article_view&num=232128,DGB캐피탈은 렌터카 견적산출 모바일 플랫폼인 IM캐피탈 출시를 기념해 6월30일까지 경품 이벤트를 진행한다고 18일 밝혔다. DGB캐피탈이 렌터카 견적을 비교해 신청할 수 있는 모바일앱을 내놨다. DGB캐피탈은 렌터카...
2021.05.18.,"DGB캐피탈, ‘IM캐피탈’ 앱 출시 기념 경품 이벤트 진행",브레이크뉴스,http://www.breaknews.com/807349,DGB금융그룹 제공 DGB캐피탈(대표 서정동)이 렌터카 견적산출 모바일 플랫폼인 ‘IM캐피탈’ 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다. M캐피탈은...
2021.05.18.,DGB캐피탈 ‘IM캐피탈’ 앱 출시 기념 경품 이벤트,로이슈,http://www.lawissue.co.kr/view.php?ud=2021051820510285389817d053b9_12,DGB캐피탈은 렌터카 견적산출 모바일 플랫폼인 ‘IM캐피탈’ 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다고 18일 밝혔다. DGB캐피탈에 따르면 플레이(앱)스토어에서 ‘DGB캐피탈’ 또는 ‘IM캐피탈’을...
2021.05.18.,'IM캐피탈' 모바일 앱 출시,대구신문,http://www.idaegu.co.kr/news/articleView.html?idxno=346903,DGB캐피탈은 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 다음 달 30일까지 경품 이벤트를 진행한다고 18일 밝혔다. 플레이(앱)스토어에서 'DGB캐피탈' 또는 'IM캐피탈'을 검색해 다운로드 받은 후...
2021.05.18.,"DGB캐피탈, ‘IM캐피탈’ 앱 출시 기념 경품 이벤트 진행",뉴데일리,http://tk.newdaily.co.kr/site/data/html/2021/05/18/2021051800087.html,뉴데일리 강승탁 기자 = DGB캐피탈(대표 서정동)은 렌터카 견적산출 모바일 플랫폼인 ‘IM캐피탈’ 출시를 기념해 오는 6월 30일까지 경품 이벤트를 마련한다. 플레이(앱)스토어에서 ‘DGB캐피탈’ 또는 ‘IM캐피탈’을...
2021.05.19.,"DGB캐피탈, ‘IM캐피탈’ 앱 출시 기념 경품 이벤트",CNB뉴스,http://www.cnbnews.com/news/article.html?no=492308,"▲ CNB뉴스, CNBNEWS, 씨앤비뉴스 DGB캐피탈은 렌터카 견적 산출 모바일 플랫폼인 ‘IM캐피탈’ 출시를 기념해 다음 달 30일까지 경품 이벤트를 진행한다. 플레이(앱)스토어에서 ‘DGB캐피탈’ 또는 ‘IM캐피탈’ 을 검색해..."
2021.05.19.,"DGB캐피탈, ‘IM캐피탈’ 앱 출시 기념 ‘경품’ 쏜다",더퍼블릭,http://thepublic.kr/news/newsview.php?ncode=1065579320171021,DGB캐피탈(대표 서정동)은 렌터카 견적산출 모바일 플랫폼인 ‘IM캐피탈’ 출시 기념 오는 6월 30일까지 경품 이벤트를 진행한다. 플레이(앱)스토어에서 ‘DGB캐피탈’ 또는 ‘IM캐피탈’을 검색해 다운로드 받은 후...
2021.05.19.,"DGB캐피탈, 'IM캐피탈' 앱 출시 기념 경품 이벤트",경북매일신문,http://www.kbmaeil.com/news/articleView.html?idxno=876725,DGB캐피탈(대표 서정동)은 렌터카 견적산출 모바일 플랫폼인 'IM캐피탈' 출시를 기념해 오는 6월 30일까지 경품 이벤트를 진행한다. 플레이(앱)스토어에서 'DGB캐피탈' 또는 'IM캐피탈'을 검색해 다운로드 받은 후 핸드폰...
2021.05.19.,"DGB캐피탈, IM캐피탈 앱 출시 기념 경품 이벤트 진행",경상매일신문,http://www.ksmnews.co.kr/default/index_view_page.php?idx=335481&part_idx=291,DGB캐피탈은 렌터카 견적산출 모바일 플랫폼인 ‘IM캐피탈’ 출시를 기념해 오는 6월30일까지 경품 이벤트를 진행한다.플레이(앱)스토어에서 ‘DGB캐피탈’ 또는 ‘IM캐피탈’을 검색해 다운로드 받은 후 핸드폰...
2021.05.20.,"DGB금융지주 글로벌사업부 이전 어디로, 김태오 싱가포르 저울질",비즈니스포스트,https://www.businesspost.co.kr/BP?command=article_view&num=232459,DGB금융지주의 계열사인 DGB대구은행과 DGB캐피탈이 현지법인을 설립하고 진출해 있는 캄보디아와 미얀마도 후보지가 될 수 있다. 사업성과 성장성이 높아 DGB대구은행과 DGB캐피탈의 진출지로 결정된 만큼 앞으로 다른...
2021.05.21.,[NW리포트]‘미래 성장 적신호’ 지방금융…디지털 대응에 총력,뉴스웨이,http://www.newsway.co.kr/news/view?tp=1&ud=2021051819153654932,지난 10년간 DGB금융지주는 하이투자증권·DGB생명·DGB캐피탈·DGB자산운용·DGB데이터시스템·수림창업투자 등 총 9개의 비은행 계열사를 설립 및 인수했다. 이에 비은행은 전체의 43.8%로 올라섰다. 광주·전남·전북에서...
2021.05.24.,"김태오 DGB금융, 110조 자산 목표 성장 가속화",한국금융신문,http://www.fntimes.com/html/view.php?ud=202105232113006159dd55077bc2_18,"DGB금융은 2012년 메트로아시아캐피탈(현 DGB캐피탈)을 시작으로 2015년 DGB생명(옛 우리아비바생명), 2016년 DGB자산운용(옛 LS자산운용), 2018년 하이투자증권 등을 잇달아 인수하며 몸집을 키웠다. 최근에는 벤처캐피탈..."
2021.05.24.,영토확장 활발한 DGB금융의 다음 선택은...수도권 거점 저축은행? 증권사?,영남일보,https://www.yeongnam.com/web/view.php?key=20210519010002237,"24일 금융권에 따르면 현재 DGB는 주요 자회사인 DGB대구은행과 하이투자증권을 비롯 DGB생명, DGB캐피탈, DGB자산운용 등의 자회사 포트폴리오를 보유하고 있다. 현재 DGB금융이 보유하지 않은 비(非)은행 업종은..."
2021.05.25.,중장기 레버리지 한도 축소에 캐피탈사 희비 엇갈린다,연합인포맥스,http://news.einfomax.co.kr/news/articleView.html?idxno=4148966,"레버리지 배율이 상대적으로 높았던 DGB캐피탈(A+)과 IBK캐피탈(AA-)의 경우 지난해 말에 각각 500억원, 1천억원 규모의 유상증자를 해 이 배율을 8배 수준 아래로 낮췄다. 신한캐피탈은 리테일 영업자산을 매각해 현재..."
