date,title,source,link,contents
2021.05.02.,"증권·금융투자사, 애물단지였던 저축銀 M&A에 눈독… 왜?",세계일보,http://www.segye.com/content/html/2021/05/02/20210502508419.html?OutUrl=naver,VI금융투자는 홍콩계 사모펀드(PEF) 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립된 회사다. 저축은행은 최근 자산이나 순익이 성장하면서 투자가치가 상승하면서 과거...
2021.05.03.,"J트러스트, 한국시장 철수 가시화...JT캐피탈·저축은행 사모펀드에 넘어가나",위키리크스한국,http://www.wikileaks-kr.org/news/articleView.html?idxno=107549,VI금융투자는 홍콩계 사모펀드(PEF) 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립한 금융사다. JT캐피탈 주식을 양도한 날로부터 3개월 이내에 JT저축은행 주식 100%에 대한...
2021.05.11.,"'대주주 적격성' 발목 잡힌 VI금융투자, JT저축은행 편법 우회인수 논란",증권경제신문,http://www.koreastocknews.com/news/articleView.html?idxno=63176,"VI금융투자는 홍콩계 사모펀드 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립한 금융사다. 그러면서 노조는 ""금융당국이 사모펀드의 저축은행 우회인수를 눈감아 준다면..."
2021.05.11.,"J트러스트, 韓시장 철수 '속도'…노조, 생존권 놓고 '한숨'",뉴스케이프,http://www.newscape.co.kr/news/view.php?idx=61659,VI금융투자는 홍콩계 사모펀드(PEF) 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립한 금융사다. 전국사무금융서비스노동조합·전국사무금융노동조합연맹은 이날 서울...
2021.05.11.,"[현장] JT노조 ""사모펀드가 인수하면 서민금융기관 망가질 것""",이뉴스투데이,http://www.enewstoday.co.kr/news/articleView.html?idxno=1477886,VI금융투자는 홍콩계 사모펀드(PEF) 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립한 회사다. JT저축은행과 JT캐피탈은 현재 일본계 금융자본인 J트러스트가 운영하고 있다....
2021.05.11.,"사무금융노조 ""중국계 사모펀드의 JT캐피탈 인수 반대""",아주경제,http://www.ajunews.com/view/20210511154255300,VI금융투자는 홍콩계 사모펀드(PEF) 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립한 회사다. 노조가 이 계약에 반대하는 것은 뱅커스트릿이 JT저축은행을 우회적으로...
2021.05.11.,"JT저축은행노조 “일본계 J트러스트, 대한민국 금융기관 우롱”",NSP통신,http://www.nspna.com/news/?mode=view&newsid=501266,무차별적 사냥을 막아낼 제도적 장치를 즉각 마련해야 한다”고 촉구했다. VI금융투자는 홍콩계 사모펀드(PEF) 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립한 금융사다. NSP통신
2021.05.11.,"JT저축은행 노조 ""중국계 약탈 자본으로의 매각 결사반대""",아이뉴스24언론사 선정,http://www.inews24.com/view/1366062,"브이아이금융투자는 중국계 사모펀드(PEF) 운용사인 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 설립한 회사다. 이를 두고 노조는 ""JT캐피탈의 매매 거래는 당국의 승인 심사가 필요 없고..."
2021.05.11.,JT저축은행·캐피탈 일괄 매각 지지부진… 사모펀드 신분이 발목,조선비즈언론사 선정,https://biz.chosun.com/stock/finance/2021/05/11/GBVH5LP4VREXXL4YCUVWN6DB6Y/?utm_source=naver&utm_medium=original&utm_campaign=biz,VI금융투자는 홍콩계 사모펀드(PEF) 운용사 뱅커스트릿프라이빗에쿼티(PE)가 하이자산운용과 하이투자선물을 인수해 올해 초 설립한 금융계열사다. 지난해 JT저축은행 매각 예비입찰에서는 JB금융·한국캐피탈...
2021.05.11.,"JT캐피탈 매각 코앞…노조 ""JT저축은행 갖기 위한 탈법 인수"" 비판",뉴스1,https://www.news1.kr/articles/?4303334,VI금융투자는 홍콩계 사모펀드 운용사 뱅커스트릿프라이빗에쿼티가 하이자산운용‧하이투자선물을 인수해 만든 회사다. 노조가 JT캐피탈을 JT저축은행 인수를 위한 수단이라고 주장하는 이유는 과거 VI금융투자의...
