title,articletime,agency
'장사는 잘했는데' 2등 내준 DGB의 아쉬움,2022-04-28,비즈니스워치
"DGB대구은행, 가정의 달 대면행사 재개",2022-04-28,시장경제신문 | 메콘뉴스
"BNK금융 DGB금융, 금리 인상으로 1분기 나란히 최대 순이익",2022-04-28,비즈니스포스트
"DGB금융 주식 매수의견 유지, ""이익 개선추세 계속 이어져""",2022-04-28,비즈니스포스트
"DGB금융그룹, 경영진 회의 효율화… 매주 개최서 격주로 변경 - 조선비즈",2022-04-27,조선비즈
"DGB생명, 지주 창립기념일 맞아 무료 급식소 봉사",2022-04-28,파이낸셜뉴스
"외국 공무원에 뇌물 혐의 김태오 DGB 회장 ""공소사실 인정못해""",2022-04-27,매일경제
"DGB대구은행, 친환경 재사용 종량제 봉투 나눔 캠페인",2022-04-28,시장경제신문 | 메콘뉴스
"[2022 1Q 실적] DGB금융, 1분기 순익 1622억 전년比 31%↑…""역대 최대""",2022-04-28,위키리크스한국
"DGB금융그룹, 스타트업 육성프로그램 '피움랩 4기' 출범",2022-04-18,이코노믹리뷰
[보험 브리핑] BNP파리바 카디프·DGB·KDB생명,2022-04-28,메트로신문-중산층과 서민을 위한 알찬 정보
"김성한 DGB생명 대표, 효율적 자산운용 증시 하락 방어…1분기 실적 순항 [금융사 2022 1분기 실적]",2022-04-28,한국금융신문
"DGB금융, 순이익 1622억 '역대 분기 최대'…전년비 31.3%↑ [금융사 2022 1분기 실적]",2022-04-28,한국금융신문
"DGB대구은행-코리아세븐, 금융채널 혁신",2022-04-11,경북매일신문
"하이투자파트너스, DGB대구은행 제2본점으로 본점 이전",2022-04-21,뉴시스
"김태오 DGB금융 회장, 자사주 1만주 매입 - 조선비즈",2022-04-15,조선비즈
"DGB대구은행, 코리아세븐과 금융채널 혁신·리테일 신사업 추진",2022-04-11,뉴시스
DGB대구은행 '외화 E-지갑' 서비스 출시,2022-04-18,뉴시스
"DGB금융그룹, 피움랩 4기 출범 - 서울경제",2022-04-18,서울경제신문
"DGB대구은행, MZ세대 파킹통장 '비상금 박스' 출시",2022-04-13,이코노믹리뷰
"김병희 DGB캐피탈 대표, 기업금융 수익 성과 순이익 255억 시현 [금융사 2022 1분기 실적]",2022-04-28,한국금융신문
"DGB대구은행, 삼성라이온즈·대구FC 특판 예·적금 출시",2022-04-20,뉴시스
"DGB금융, 경북도청에 산불 피해 성금 5억원 전달",2022-04-09,아주경제
"DGB금융그룹, 월드오케스트라시리즈 조직위와 파트너십 구축 외 [금융소식]",2022-04-19,쿠키뉴스
"DGB대구은행, ICT·디지털 분야 경력직원 채용…29일까지 접수",2022-04-16,아주경제
"DGB대구은행, 러시아 경제제재 피해기업 1000억 원 규모 금융지원",2022-04-08,이투데이
