,date,year,month,day,press,nouns_contents,label
0,2019-10-08,2019,10,8,CEO스코어데일리,대 구 은행 2016년 라오스 DGB 캐피탈 자회사 DGB Lao Leasing Company Co LtdDLCC 현 법인 을 설립 이다 지난해 1월 캄보디아 MFI 여 신 전 문 금융기관 캠 캐피탈 은행 을 100% 분 인수 DGB 특수은행 DGB Specialized,-1
1,2021-01-26,2021,1,26,경상매일신문,DGB 대 구 은행 지역 아동 학습 환경 개선 을 위해 진행 하고 있다 DGB 행복 꽃 피다 공 부방 사업 진행 따르다 공로 인정받다 경북 사 회복 협의 회로 부터 감사패 전달 받다 DGB 행복 꽃 피다 공 부방 만들기,1
2,2021-07-15,2021,7,15,대경일보,▲ DGB 대구 은행 본점 에서 진행 되다 정보보호 실천 캠페인 에서 임성훈 대 구 은행 장 오른쪽 번째 정보보호 최고 책임자 CISO 이상근 상무 오른쪽 세번 째 및 직원 기념 촬영 을 있다 지난 1314일,1
3,2019-08-01,2019,8,1,스마트경제,그룹 주력 계열 사인 DGB 대 구 은행 영업 이익 당기다 순이익 시장 금리 하락 따르다 마진 감소 로 전 년 동기 대비 각각 116% 101% 감소 2318억원 1782억원 을 달성 총 대출 총 수신 각각 65% 54% 증가,-1
4,2020-03-11,2020,3,11,연합뉴스,DGB 대구 은행 김태오 행 장 왼쪽 11일 본점 에서 신종 코로나바이러스 감염증 코로나 19 지원 힘쓰다 있다 제 50 보병 사 단 사단 장 엄용진 격려 금 1천만원 을 전달 2020311 대구 은행 제공 재판매 및 DB 금지,1
5,2021-06-29,2021,6,29,데일리안,저축은행 중앙회 2016년 우리은행 연 계 대출 협약 을 맺다 것 을 시작 2017년 Sh 수협 은행 2018년 DGB 대 구 은행 과의 연 계 대출 협약 을 맺다 이번 전북 은행 4 번째 연 계 대출 협약 을 체결 이번 업무 협약 을 통해,1
6,2021-02-26,2021,2,26,시장경제신문,이다 DGB 대 구 은행 전 년 대비 156% 줄어들다 2383억원 순이익 을 기록 경남 은행 1646억원 광주 은행 1602억원 지난해 각각 94% 76% 감소   제 주 은행 순이익 373% 줄어들다   175억원 을 기록,-1
7,2019-07-02,2019,7,2,MTN,김태오 DGB 대 구 은행 장 바이오 헬스 분야 창업 기업 적극 협조 DGB 대 구 은행 오송 첨단 의료 산업 진흥 재단 바이오 헬스 분야 창업 기업 성 장지원 협력 양해각서 MOU 체결 이번 협약,1
8,2020-10-08,2020,10,8,서울파이낸스,DGB 대 구 은행 캄보디아 현지 법인 DGB 특수은행 DGB Specialized Bank 상업 은행 라이선스 획득 8일 밝히다 사진 DGB 대구 은행 DGB 대 구 은행 캄보디아 현지 법인 DGB 특수은행 DGB Specialized Bank 상업 은행,-1
9,2022-03-02,2022,3,2,NSP통신,최병수 기자 DGB 대구 은행 139130 2일 도청 신도시 지점 지점 장 김경 봉 개점 행사 진행 경북 도청 신도시 경북 예천군 호명면 도청 대로 201 대지 2157 ㎡ 위치 DGB 대구 은행 도청 신도시 지점 지하 1 층 지상 5 층 규모,1
10,2020-12-02,2020,12,2,CNB뉴스,DGB 대 구 은행 2억 5000만원 경북 농협 1억원 을 개인 기부 로는 이진복 경북 사랑 열매 나눔 봉사 단장 500만원 을 쾌척해 캠페인 첫 기 부자 로 등록 돼다 경북 사 회복 공 동 모 금회 희망 2021 나눔 캠페인 기간,1
11,2020-03-02,2020,3,2,한국금융신문,DGB 대 구 은행 핀 크다 SK 텔레콤 협업 T high 5 적금 신규 고객 을 대거 유입 지방 거점 은행 한계 넘다 수도권 고객 까지 확보 하고 있다 올해 3월 출시 되다 오픈 API 플랫폼 을 활용 핀 테크 기업 및 다양하다,1
12,2022-03-14,2022,3,14,파이낸셜뉴스,한편 DGB 생명 DGB 대구 은행 등 속 DGB 금융 그룹 그룹 차원 긴급 지원 을 펼치다 있다 대피소 생활 을 있다 지역 주민 봉사자 을 위해 대 적십자사 재난 구호 급식 차량 부식 을 지원 하고 재난 피해,1
13,2021-03-17,2021,3,17,한국경제,DGB 대구 은행 노조 대 구 은행 캄보디아 부동산 사 기 사고 관련 김태오 DGB 금융 지주 회장 입장 책임 을 묻다 성명 서 16일 발표 전국 금융 산업 노조 대 구 은행 지부 김태오 회장 답변 라는 제목,-1
14,2019-11-28,2019,11,28,메트로신문,DGB 대 구 은행 미얀마 에서 DGB 소액 대출 법인 을 설립 하고 기념 행사 개최 28일 밝히다 대 구 은행 지난 7월 31일 미얀마 정부 로부터 소액 대출 라이선스 승인 받다 바고 지역 을 중심 영업 을 실시,1
15,2021-04-30,2021,4,30,파이낸셜신문,DGB 대다 구 은행 코로나 19 재난 방역 적극 참여 및 지역 사회 원 활동 을 통한 사회 적 기업 으로서의 사회 적 가치 구현 기여 공 을 인정받다 2021년 코로나 19 대응 유공 표창 행정안전부 장관 표창 을 수상하다 30일,1
16,2020-01-06,2020,1,6,쿠키뉴스,DGB 대 구 은행 지역 중소기업 자금난 해소 위해 5000억원 규모 설 특별 자금 을 지원 6일 밝히다 일시 적 자금 부족 을 겪다 있다 기업 을 대상 다음 달 21일 까지 업체 당 10억원 까지 지원 본부 승인 을,1
17,2021-04-08,2021,4,8,파이낸셜뉴스,침체 되다 대구 경북 지역 관광 살리다 우대금리 받다 대구시 경북 DGB 대구 은행 이하 대 구 은행 8일 오후 대구 은행 본점 에서 DGB 금융 상품 연 계 관광 활성화 업무 협약 을 체결 밝히다 이번 협약,1
18,2020-03-11,2020,3,11,아시아투데이,김태호 DGB 대 구 은행 장이 10일 수성동 본점 에서 코로나 19 관련 지원 사업 힘쓰다 있다 군 장병 격려 위해 엄 용진 제 50 보병 사단 장 에게 격려 금 1000만원 을 전달 11일 DGB 대 구 은행 따르다 2013년 1 사 1 병영,1
