,date,year,month,day,title,nouns_title,press,contents
0,2021-05-01,2021,5,1,"DGB대구은행, 은행권 중금리대출 실적 1위",DGB 대구 은행 은행권 금리 대출 실적,글로벌이코노믹,DGB대구은행의 중금리대출 실적이 지방은행뿐만 아니라 은행권 전체에서 가장 많은 것으로 나타났다. 시중은행들이 최근 2년간 중금리대출 규모를 40% 줄이는 동안 대구은행은 같은 기간 10배 이상 늘린 결과다....
1,2021-05-01,2021,5,1,"DGB대구은행, 어버이날 맞이 효(孝) 마스크 지원",DGB 대구 은행 어버이날 맞이 마스크 지원,경북신문,DGB대구은행(은행장 임성훈)은 다가오는 어버이날을 맞아 지역 내 방역취약계층 어르신들의 코로나19 극복에 힘을 보태고자 마스크 5만7천여장을 전달한다고 30일 밝혔다. 대한적십자사 대구지사(회장 송준기)에 전달된...
2,2021-05-01,2021,5,1,은행·비은행 동반성장…지방금융지주 1분기 '好好好',은행 은행 동반성 지방 금융 지주 1분 好好好,미디어펜,"DGB금융의 순이익은 지난해 1분기에 견줘 40% 급증했다. 핵심 계열사인 대구은행은 16.3% 신장한 915억원의 순이익을 올렸다. 시장금리 하락세가 진정되면서 이자이익이 회복됐고, 지역 경기가 정상화되면서..."
3,2021-05-01,2021,5,1,"DGB대구銀, 코로나 대응 관련 ‘유공 행정안전부 장관표창’",DGB 대구 코로나 대응 관련 유공 행정안전부 장관 표창,더퍼블릭,DGB대구은행(이하 대구은행)은 코로나19 재난 방역 적극 참여 및 지역사회 지원활동을 통한 사회적 기업으로서의 사회적 가치 구현에 기여한 공을 인정받아 ‘2021년 코로나19 대응 유공 표창’ 행정안전부 장관표창을...
4,2021-05-01,2021,5,1,"대구은행, 방역취약계층 어르신 대상 KF94 마스크 전달",대구 은행 방역 취약 계층 어르신 대상 KF 94 마스크 전달,일요신문,"- DGB대구은행, 어버이날 맞아 효(孝) 마스크 지원 DGB대구은행(은행장 임성훈)이 어버이날을 맞아 지역 내 방역취약계층 어르신들을 대상으로 마스크을 전달한다. 대한적십자사 대구지사(회장 송준기)에 전달된 이번..."
5,2021-05-01,2021,5,1,지방금융그룹도 1분기 사상최대 실적…비은행 계열 선전,지방 금융 그룹 1분 사상 최대 실적 은행 계열 선전,e대한경제,"시장금리 상승세에 힘입어 대구은행의 순이자마진이 회복한 데 이어, 비은행 계열인 하이투자증권과 DGB캐피탈 등의 이익이 증가하면서 최대 실적을 기록한 것이다. 특히 하이투자증권은 최근 동학개미..."
6,2021-05-01,2021,5,1,"DGB대구은행, 어버이날 맞이 효(孝) 마스크 지원",DGB 대구 은행 어버이날 맞이 마스크 지원,국제뉴스,"▲사진 좌: 서문선 DGB대구은행 경영기획본부장, 송준기 대한적십자사 대구지사 회장 ▲사진 우: 전광채 DGB대구은행 사회공헌홍보부장, 서문선 DGB대구은행 경영기획본부장, 송준기 대한적십자사 대구지사 회장..."
7,2021-05-02,2021,5,2,'호실적' 금융지주계열 캐피탈·저축銀…충당금적립 먹구름,호실 금융 주계열 캐피탈 저축 충당금 적립 먹구름,이코노믹리뷰,대구은행 이자이익이 회복되고 비은행 계열사인 DGB캐피탈과 하이투자증권의 이익이 증가했기 때문이다. DGB캐피탈의 1분기 총 영업이익은 339억원으로 전년 동기 대비 28.4% 늘어났다. 반면 충당금전입액은 전년도와...
8,2021-05-02,2021,5,2,"DGB대구銀, 어버이날 맞이 ‘孝’ 마스크 지원",DGB 대구 어버이날 맞이 마스크 지원,더퍼블릭,DGB대구은행(은행장 임성훈)은 다가오는 어버이날을 맞아 지역 내 방역취약계층 어르신들의 코로나19 극복에 힘을 보태고자 마스크 5만7천여장을 전달할 예정이다. 대한적십자사 대구지사(회장 송준기)에 전달된 이번...
9,2021-05-02,2021,5,2,"대구시, 지역 빅데이터 역량 집결을 위해 머리 맞댄다",대구시 지역 빅데이터 역량 집결 위해 머리 맞대다,아시아투데이,"2일 대구시에 따르면 이날 회의에는 동북지방통계청, 한국지능정보사회진흥원을 비롯해 경북대, DGB 대구은행, ICT 산업 협회 등 각계 전문가들이 참여해 빅데이터 활성화를 위한 실질적인 지원정책을 논의했다.코로나19로..."
10,2021-05-02,2021,5,2,'한 숨 돌린' BNK·JB·DGB금융 순익 39% 급등…날개 단 비은행,돌리다 BNKJBDGB 금융 39% 급등 날개 은행,에너지경제,"DGB대구은행 1분기 순이익은 915억원으로, 1년 전에 비해 16.3% 상승했다. 지방금융지주는 지역 경제 침체와 코로나19까지 맞물려 한동안 암흑의 터널을 지나고 있는 듯 했으나, 올해는 은행 부문과 비은행 부문이..."
11,2021-05-02,2021,5,2,"DGB대구은행, ‘코로나19 적극대응’ 공로 행정안전부 장관 표창",DGB 대구 은행 코로나 19 적극 대응 공로 행정안전부 장관 표창,뉴데일리,뉴데일리 강승탁 기자 = DGB대구은행(이하 대구은행)은 코로나19 재난 방역 적극 참여와 지원 활동 공로를 인정받아 ‘2021년 코로나19 대응 유공 표창’ 행정안전부 장관표창을 수상했다고 30일 밝혔다. 코로나19 대응...
