,date,title,source,contents,link
0,2020.01.01.,[인사] 경찰청 외,서울경제,이창우 ▶DGB대구은행 &lt;부점장급&gt;△경산공단영업부 금융지점장 곽보영 △성서영업부 금융〃 구은희 △황금동〃 권기욱 △본점PB1센터장 권순희 △여신기획부장 권태혁 △인재개발부 조사역 권혁재...,https://www.sedaily.com/NewsView/1YXH8UECMG
1,2020.01.01.,"구미시, 일자리 창출 기업 육성을 위한 펀드 조성",경상매일신문,"구미시는 지난해 12월 30일 경북도청에서 정부가 조성한 한국모태펀드의 출자사업을 통해 경상북도, DGB대구은행, 구미전자정보기술원 등이 참여하는 투자조합 결성을 위한 협약식을 가졌다.협약을 통해 결성되는...",http://www.ksmnews.co.kr/default/index_view_page.php?idx=277583&part_idx=298
2,2020.01.01.,◇DGB대구은행,경북매일신문,김종각 △대구혁신도시지점 한국가스공사점 금융지점장 김종호 △화성지점 금융지점장 김진해... 손장민 △대구2본부 센터장 송용래 △부울경본부 센터장 안준형 △부동산금융부 부장 양진석 △신탁연금부 부장 여규동...,http://www.kbmaeil.com/news/articleView.html?idxno=834709
3,2020.01.01.,"DGB대구은행, 수도권·대전·세종 기업영업 추진역 공개 모집",대경일보,해당지역 중기 ‘직접 찾아가는 영업 종합 금융 컨설팅 및 서류 제출 지원 DGB대구은행은 퇴직직원 채용을 통한 일자리 창출과 영업권역 확대 등을 위한 기업영업추진 전문역을 공개 채용한다고 2일 밝혔다. 이번 채용은...,http://www.dkilbo.com/news/articleView.html?idxno=201515
4,2020.01.01.,인사,대구신문,이창우 (DGB대구은행) ◇부점장급 이동 △경산공단영업부 금융지점장 곽보영 △성서영업부 금융지점장 구은희 △황금동지점 지점장 권기욱 △본점PB1센터 센터장 권순희 △여신기획부 부장 권태혁 △인재개발부 조사역...,http://www.idaegu.co.kr/news/articleView.html?idxno=297522
5,2020.01.01.,DGB금융그룹,경북도민일보,DGB금융지주 △DGB생명 파견 이균호 △HR·기업문화부 박성진 △시너지추진부 신일규 △재무전략부 이창우 DGB대구은행 △경산공단영업부 금융지점장 곽보영 △성서영업부 금융지점장 구은희 △황금동지점 지점장 권기욱...,http://www.hidomin.com/news/articleView.html?idxno=409589
6,2020.01.01.,[인사] DGB금융그룹,경북일보,□ DGB금융지주 △ DGB생명 파견 이균호 △HR·기업문화부 박성진 △ 시너지추진부 신일규 △재무전략부 이창우 □ DGB대구은행 &lt;부점장급&gt; △경산공단영업부 금융지점장 곽보영 △성서영업부 금융지점장 구은희...,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2026002
7,2020.01.01.,[인사] 현대해상 ; 에셋플러스자산운용 ; DGB금융그룹 등,한국경제,이창우◇DGB대구은행&lt;부점장급&gt;▷경산공단영업부 금융지점장 곽보영▷성서영업부 금융지점장 구은희▷황금동지점장 권기욱▷본점PB1센터장 권순희▷여신기획부장 권태혁▷인재개발부 조사역 권혁재...,https://www.hankyung.com/society/article/2020010164381
8,2020.01.01.,[무등칼럼] 광주FC의 질주를 기대하며,무등일보,2019년 초 전용 구장인 DGB대구은행 파크가 개장하면서 폭발적으로 증가세를 보인 팬들의 호응이 컸다. 1만2천석 규모의 대구은행 파크에는 평균 1만명 대의 관중이 몰려들면서 2018년과 비교해 3배 이상의 구름 관중이...,http://www.honam.co.kr/article.php?aid=1577859422606330172
9,2020.01.01.,[인사] 부산소방본부/주택도시보증공사/DB손해보험 등,세이프타임즈,이창우 ◇ DGB대구은행 &lt;부점장급&gt; ▲ 경산공단영업부 금융지점장 곽보영 ▲ 성서영업부 금융지점장 구은희 ▲ 황금동지점장 권기욱 ▲ 본점PB1센터장 권순희 ▲ 여신기획부장 권태혁 ▲ 인재개발부 조사역 권혁재...,http://www.safetimes.co.kr/news/articleView.html?idxno=78958
